policy,expert,expert_call_rate,expert_call_n,expert_calls_per_deferred_image,expert_call_equivalent,relative_cost_vs_dense,accuracy,macro_f1,qwk,gain_over_green,gain_over_best_single,gain_over_dense,random_accuracy_mean,random_accuracy_p975,gain_over_random_mean,above_random_975,gain_per_100_expert_calls
low_confidence,both_average,0.2,220,2,440,0.2,0.8163636363636364,0.6795835352525756,0.8822883623770686,0.037272727272727346,0.0027272727272728003,-0.014545454545454528,0.7908004545454547,0.8,0.025563181818181735,True,0.008471074380165306
high_entropy,retfound_mae,0.3,330,1,330,0.15,0.8154545454545454,0.6722799796682947,0.8778564681547961,0.036363636363636376,0.0018181818181818299,-0.015454545454545499,0.7866659090909092,0.7981818181818182,0.028788636363636266,True,0.011019283746556478
low_confidence,retfound_mae,0.5,550,1,550,0.25,0.8154545454545454,0.6401070270943655,0.8734736739279085,0.036363636363636376,0.0018181818181818299,-0.015454545454545499,0.7915177272727273,0.8045454545454546,0.023936818181818142,True,0.006611570247933886
high_entropy,retfound_mae,0.4,440,1,440,0.2,0.8145454545454546,0.655642827037234,0.8743488364354602,0.035454545454545516,0.0009090909090909705,-0.016363636363636358,0.7890331818181818,0.8018181818181818,0.025512272727272745,True,0.008057851239669435
low_confidence,retfound_mae,0.4,440,1,440,0.2,0.8136363636363636,0.6517984212222719,0.8743406041166524,0.034545454545454546,0.0,-0.01727272727272733,0.7890331818181818,0.8018181818181818,0.024603181818181774,True,0.007851239669421488
low_margin,convnext,0.3,330,1,330,0.15,0.8136363636363636,0.6662400447826393,0.8684136287783273,0.034545454545454546,0.0,-0.01727272727272733,0.7896622727272727,0.8009090909090909,0.02397409090909086,True,0.010468319559228651
low_confidence,convnext,0.2,220,1,220,0.1,0.8127272727272727,0.6696453739999685,0.8679653840953779,0.033636363636363686,-0.0009090909090908594,-0.018181818181818188,0.7861549999999999,0.7963636363636364,0.026572272727272805,True,0.01528925619834713
low_margin,convnext,0.2,220,1,220,0.1,0.8118181818181818,0.6724157798009568,0.8695945523038031,0.032727272727272716,-0.0018181818181818299,-0.01909090909090916,0.7861549999999999,0.7963636363636364,0.025663181818181835,True,0.014876033057851235
low_confidence,retfound_mae,0.3,330,1,330,0.15,0.8118181818181818,0.6677883707806302,0.876728110025267,0.032727272727272716,-0.0018181818181818299,-0.01909090909090916,0.7866659090909092,0.7981818181818182,0.025152272727272607,True,0.009917355371900824
low_margin,retfound_mae,0.3,330,1,330,0.15,0.8118181818181818,0.6652364850678103,0.8800712770708584,0.032727272727272716,-0.0018181818181818299,-0.01909090909090916,0.7866659090909092,0.7981818181818182,0.025152272727272607,True,0.009917355371900824
