policy,target,defer_rate,n_deferred,expected_cost_ms,accuracy,macro_f1,qwk,n_error,random_std_acc,gap_to_dense_acc,gain_over_green_acc,gain_over_best_single_acc
oracle_upper,retfound,0.6,660,6.718859964166768,0.8363636363636363,0.6854423609035069,0.8860305211880847,180.0,,-0.005454545454545379,0.05727272727272725,0.022727272727272707
confidence,retfound,0.8,880,8.334014055435546,0.8036363636363636,0.5834373647903611,0.8659212645253975,216.0,,0.027272727272727337,0.024545454545454537,-0.010000000000000009
margin,retfound,0.8,880,8.334014055435546,0.8045454545454546,0.5900060937206411,0.8662841712199351,215.0,,0.026363636363636367,0.025454545454545507,-0.009090909090909038
entropy,retfound,0.8,880,8.334014055435546,0.8036363636363636,0.5834373647903611,0.8659212645253975,216.0,,0.027272727272727337,0.024545454545454537,-0.010000000000000009
random_mean,retfound,0.8,880,8.334014055435546,0.7994090909090908,,,,0.005207869125318555,0.031500000000000083,0.02031818181818179,-0.014227272727272755
oracle_upper,retfound,0.8,880,8.334014055435546,0.8227272727272728,0.6463613756181257,0.8759993987849638,195.0,,0.008181818181818179,0.043636363636363695,0.00909090909090915
confidence,retfound,1.0,1100,9.949168146704324,0.8036363636363636,0.5834373647903611,0.8659212645253975,216.0,,0.027272727272727337,0.024545454545454537,-0.010000000000000009
margin,retfound,1.0,1100,9.949168146704324,0.8036363636363636,0.5834373647903611,0.8659212645253975,216.0,,0.027272727272727337,0.024545454545454537,-0.010000000000000009
entropy,retfound,1.0,1100,9.949168146704324,0.8036363636363636,0.5834373647903611,0.8659212645253975,216.0,,0.027272727272727337,0.024545454545454537,-0.010000000000000009
random_mean,retfound,1.0,1100,9.949168146704324,0.8036363636363635,,,,1.1102230246251565e-16,0.02727272727272745,0.024545454545454426,-0.01000000000000012
oracle_upper,retfound,1.0,1100,9.949168146704324,0.8036363636363636,0.5834373647903611,0.8659212645253975,216.0,,0.027272727272727337,0.024545454545454537,-0.010000000000000009
confidence,both_average,0.0,0,1.8733976903604344,0.7790909090909091,0.6394309461388187,0.8653377490177998,243.0,,0.051818181818181874,0.0,-0.034545454545454546
margin,both_average,0.0,0,1.8733976903604344,0.7790909090909091,0.6394309461388187,0.8653377490177998,243.0,,0.051818181818181874,0.0,-0.034545454545454546
entropy,both_average,0.0,0,1.8733976903604344,0.7790909090909091,0.6394309461388187,0.8653377490177998,243.0,,0.051818181818181874,0.0,-0.034545454545454546
random_mean,both_average,0.0,0,1.8733976903604344,0.7790909090909091,,,,0.0,0.051818181818181874,0.0,-0.034545454545454546
oracle_upper,both_average,0.0,0,1.8733976903604344,0.7790909090909091,0.6394309461388187,0.8653377490177998,243.0,,0.051818181818181874,0.0,-0.034545454545454546
confidence,both_average,0.05,55,2.567533787805587,0.79,0.6532282373118425,0.877177743721957,231.0,,0.040909090909090895,0.01090909090909098,-0.023636363636363567
margin,both_average,0.05,55,2.567533787805587,0.7909090909090909,0.6561951151216165,0.8724902113697617,230.0,,0.040000000000000036,0.011818181818181839,-0.022727272727272707
entropy,both_average,0.05,55,2.567533787805587,0.7881818181818182,0.6528635162093479,0.875159386916604,233.0,,0.042727272727272725,0.00909090909090915,-0.025454545454545396
random_mean,both_average,0.05,55,2.567533787805587,0.7817409090909092,,,,0.0020465199245677805,0.04916818181818172,0.0026500000000001522,-0.031895454545454394
oracle_upper,both_average,0.05,55,2.567533787805587,0.8290909090909091,0.7024442709682647,0.8908405003711878,188.0,,0.0018181818181818299,0.050000000000000044,0.015454545454545499
confidence,both_average,0.1,110,3.2616698852507398,0.8,0.6631195291890636,0.8746181168387409,220.0,,0.030909090909090886,0.020909090909090988,-0.013636363636363558
margin,both_average,0.1,110,3.2616698852507398,0.7963636363636364,0.6559878858356274,0.8719324162645832,224.0,,0.034545454545454546,0.01727272727272733,-0.017272727272727217
entropy,both_average,0.1,110,3.2616698852507398,0.7981818181818182,0.664912705362315,0.8756425429686809,222.0,,0.032727272727272716,0.01909090909090916,-0.015454545454545388
random_mean,both_average,0.1,110,3.2616698852507398,0.7842318181818182,,,,0.0026900451622986904,0.046677272727272734,0.00514090909090914,-0.029404545454545405
oracle_upper,both_average,0.1,110,3.2616698852507398,0.8536363636363636,0.733056629907909,0.9032259388340739,161.0,,-0.022727272727272707,0.07454545454545458,0.040000000000000036
confidence,both_average,0.2,220,4.649942080141045,0.8172727272727273,0.6820883781491054,0.8803972469725145,201.0,,0.013636363636363669,0.038181818181818206,0.0036363636363636598
margin,both_average,0.2,220,4.649942080141045,0.8163636363636364,0.6813861333350992,0.8794574204356504,202.0,,0.014545454545454528,0.037272727272727346,0.0027272727272728003
entropy,both_average,0.2,220,4.649942080141045,0.8109090909090909,0.6761405693991883,0.881302990199715,208.0,,0.020000000000000018,0.03181818181818186,-0.0027272727272726893
random_mean,both_average,0.2,220,4.649942080141045,0.7896318181818183,,,,0.003842022431433263,0.04127727272727266,0.010540909090909212,-0.024004545454545334
oracle_upper,both_average,0.2,220,4.649942080141045,0.85,0.726899079159536,0.8999398041159966,165.0,,-0.019090909090909047,0.07090909090909092,0.036363636363636376
confidence,both_average,0.3,330,6.0382142750313506,0.8254545454545454,0.6913229738208712,0.8837427575839316,192.0,,0.00545454545454549,0.046363636363636385,0.011818181818181839
margin,both_average,0.3,330,6.0382142750313506,0.8236363636363636,0.6890401431107908,0.8831643633430556,194.0,,0.0072727272727273196,0.044545454545454555,0.010000000000000009
entropy,both_average,0.3,330,6.0382142750313506,0.8245454545454546,0.6893745985637072,0.8853290507440614,193.0,,0.006363636363636349,0.045454545454545525,0.01090909090909098
random_mean,both_average,0.3,330,6.0382142750313506,0.7946818181818182,,,,0.004514210802959216,0.036227272727272775,0.0155909090909091,-0.018954545454545446
oracle_upper,both_average,0.3,330,6.0382142750313506,0.8481818181818181,0.7221656831794342,0.900835779504649,167.0,,-0.017272727272727217,0.06909090909090909,0.034545454545454546
confidence,both_average,0.4,440,7.426486469921656,0.8281818181818181,0.6881477857802528,0.8858928390431786,189.0,,0.0027272727272728003,0.049090909090909074,0.014545454545454528
margin,both_average,0.4,440,7.426486469921656,0.8272727272727273,0.6868640932400188,0.8856935479361804,190.0,,0.0036363636363636598,0.048181818181818215,0.013636363636363669
entropy,both_average,0.4,440,7.426486469921656,0.8272727272727273,0.685423979189786,0.8855283419041808,190.0,,0.0036363636363636598,0.048181818181818215,0.013636363636363669
random_mean,both_average,0.4,440,7.426486469921656,0.8003636363636363,,,,0.004142103909052551,0.030545454545454653,0.02127272727272722,-0.013272727272727325
oracle_upper,both_average,0.4,440,7.426486469921656,0.8463636363636363,0.7183268847834333,0.9002398790373006,169.0,,-0.015454545454545388,0.06727272727272726,0.032727272727272716
confidence,both_average,0.5,550,8.814758664811961,0.8309090909090909,0.6935173263762987,0.8874556246807673,186.0,,0.0,0.051818181818181874,0.01727272727272733
margin,both_average,0.5,550,8.814758664811961,0.8309090909090909,0.6935173263762987,0.8874556246807673,186.0,,0.0,0.051818181818181874,0.01727272727272733
entropy,both_average,0.5,550,8.814758664811961,0.8309090909090909,0.6935173263762987,0.8874556246807673,186.0,,0.0,0.051818181818181874,0.01727272727272733
random_mean,both_average,0.5,550,8.814758664811961,0.8052772727272728,,,,0.00482734762824959,0.025631818181818145,0.02618636363636373,-0.008359090909090816
oracle_upper,both_average,0.5,550,8.814758664811961,0.8409090909090909,0.709704896517691,0.8940514165611954,175.0,,-0.010000000000000009,0.06181818181818188,0.027272727272727337
confidence,both_average,0.6,660,10.203030859702267,0.8309090909090909,0.6935173263762987,0.8874556246807673,186.0,,0.0,0.051818181818181874,0.01727272727272733
margin,both_average,0.6,660,10.203030859702267,0.8309090909090909,0.6935173263762987,0.8874556246807673,186.0,,0.0,0.051818181818181874,0.01727272727272733
entropy,both_average,0.6,660,10.203030859702267,0.8309090909090909,0.6935173263762987,0.8874556246807673,186.0,,0.0,0.051818181818181874,0.01727272727272733
random_mean,both_average,0.6,660,10.203030859702267,0.8096954545454546,,,,0.004124385754417213,0.02121363636363638,0.030604545454545495,-0.0039409090909090505
oracle_upper,both_average,0.6,660,10.203030859702267,0.8372727272727273,0.7041269409398048,0.892460694828337,179.0,,-0.006363636363636349,0.05818181818181822,0.023636363636363678
confidence,both_average,0.8,880,12.979575249482878,0.8309090909090909,0.6935173263762987,0.8874556246807673,186.0,,0.0,0.051818181818181874,0.01727272727272733
margin,both_average,0.8,880,12.979575249482878,0.8309090909090909,0.6935173263762987,0.8874556246807673,186.0,,0.0,0.051818181818181874,0.01727272727272733
entropy,both_average,0.8,880,12.979575249482878,0.8309090909090909,0.6935173263762987,0.8874556246807673,186.0,,0.0,0.051818181818181874,0.01727272727272733
random_mean,both_average,0.8,880,12.979575249482878,0.8206909090909091,,,,0.0033981521473484544,0.010218181818181793,0.04160000000000008,0.0070545454545455355
oracle_upper,both_average,0.8,880,12.979575249482878,0.8345454545454546,0.6987371571127371,0.8872575027104335,182.0,,-0.0036363636363636598,0.055454545454545534,0.020909090909090988
confidence,both_average,1.0,1100,15.756119639263488,0.8309090909090909,0.6935173263762987,0.8874556246807673,186.0,,0.0,0.051818181818181874,0.01727272727272733
margin,both_average,1.0,1100,15.756119639263488,0.8309090909090909,0.6935173263762987,0.8874556246807673,186.0,,0.0,0.051818181818181874,0.01727272727272733
entropy,both_average,1.0,1100,15.756119639263488,0.8309090909090909,0.6935173263762987,0.8874556246807673,186.0,,0.0,0.051818181818181874,0.01727272727272733
random_mean,both_average,1.0,1100,15.756119639263488,0.8309090909090906,,,,3.3306690738754696e-16,3.3306690738754696e-16,0.05181818181818154,0.017272727272726995
oracle_upper,both_average,1.0,1100,15.756119639263488,0.8309090909090909,0.6935173263762987,0.8874556246807673,186.0,,0.0,0.051818181818181874,0.01727272727272733
