dataset,backbone,target,method,budget,n_random,n,top_k,eligible_count,total_event,event_recall_mean,event_recall_ci95_low,event_recall_ci95_high,captured_event_mean,captured_event_ci95_low,captured_event_ci95_high,residual_event_count_mean,residual_event_count_ci95_low,residual_event_count_ci95_high,residual_event_rate_mean,residual_event_rate_ci95_low,residual_event_rate_ci95_high,enrichment_ratio_mean,enrichment_ratio_ci95_low,enrichment_ratio_ci95_high,event_recall_expected,captured_event_expected,residual_event_count_expected,residual_event_rate_expected,enrichment_ratio_expected
MESSIDOR2,retfound_mae_cfp_official_like,vtdr_miss,random_gate_only,0.5,2000,526,263,513,26,0.5094423076923077,0.3076923076923077,0.6923076923076923,13.2455,8.0,18.0,12.7545,8.0,18.0,0.04849619771863118,0.030418250950570342,0.06844106463878327,1.0188846153846154,0.6153846153846154,1.3846153846153846,0.5126705653021443,13.329434697855751,12.670565302144249,0.048177054380776616,1.0253411306042886
MESSIDOR2,swin_tiny,vtdr_miss,random_gate_only,0.05,2000,526,27,519,29,0.05286206896551724,0.0,0.13793103448275862,1.533,0.0,4.0,27.467,25.0,29.0,0.0550440881763527,0.050100200400801605,0.05811623246492986,1.029831417624521,0.0,2.6871008939974454,0.05202312138728324,1.5086705202312138,27.491329479768787,0.055092844648835244,1.0134874759152217
MESSIDOR2,swin_tiny,vtdr_miss,random_gate_only,0.1,2000,526,53,519,29,0.10255172413793102,0.0,0.20775862068965045,2.974,0.0,6.024999999999864,26.026,22.975,29.0,0.05502325581395348,0.04857293868921776,0.0613107822410148,1.0177774886141835,0.0,2.0619063109953992,0.10211946050096339,2.9614643545279384,26.038535645472063,0.05504975823567032,1.0134874759152217
MESSIDOR2,swin_tiny,vtdr_miss,random_gate_only,0.2,2000,526,106,519,29,0.20398275862068965,0.06896551724137931,0.3448275862068966,5.9155,2.0,10.0,23.0845,19.0,27.0,0.05496309523809525,0.04523809523809524,0.06428571428571428,1.0122163305139882,0.34222511385816523,1.7111255692908265,0.20423892100192678,5.922928709055877,23.077071290944122,0.054945407835581245,1.0134874759152217
MESSIDOR2,swin_tiny,vtdr_miss,random_gate_only,0.3,2000,526,158,519,29,0.30220689655172417,0.13793103448275862,0.4827586206896552,8.764,4.0,14.0,20.236,15.0,25.0,0.0549891304347826,0.04076086956521739,0.06793478260869565,1.0060811872544742,0.4591881274552597,1.607158446093409,0.3044315992292871,8.828516377649326,20.171483622350674,0.05481381419117031,1.0134874759152217
MESSIDOR2,swin_tiny,vtdr_miss,random_gate_only,0.4,2000,526,211,519,29,0.4042758620689655,0.2413793103448276,0.5862068965517241,11.724,7.0,17.0,17.276,12.0,22.0,0.054844444444444446,0.0380952380952381,0.06984126984126984,1.0078156561529663,0.6017323092008499,1.4613498937734923,0.4065510597302505,11.789980732177264,17.210019267822737,0.054634981802611865,1.0134874759152217
MESSIDOR2,swin_tiny,vtdr_miss,random_gate_only,0.5,2000,526,263,519,29,0.5088275862068965,0.3103448275862069,0.6896551724137931,14.756,9.0,20.0,14.244,9.0,20.0,0.05415969581749049,0.034220532319391636,0.07604562737642585,1.017655172413793,0.6206896551724138,1.379310344827586,0.5067437379576107,14.695568400770712,14.304431599229288,0.05438947376132809,1.0134874759152215
MESSIDOR2,vit_b_imagenet,vtdr_miss,random_gate_only,0.05,2000,526,27,517,28,0.052214285714285706,0.0,0.14285714285714285,1.462,0.0,4.0,26.538,24.0,28.0,0.05318236472945893,0.04809619238476954,0.056112224448897796,1.0172116402116405,0.0,2.7830687830687832,0.05222437137330754,1.4622823984526112,26.53771760154739,0.05318179880069617,1.0174081237911026
MESSIDOR2,vit_b_imagenet,vtdr_miss,random_gate_only,0.1,2000,526,53,517,28,0.1020892857142857,0.0,0.21428571428571427,2.8585,0.0,6.0,25.1415,22.0,28.0,0.053153276955602534,0.046511627906976744,0.05919661733615222,1.0131880053908358,0.0,2.1266846361185987,0.10251450676982592,2.870406189555126,25.129593810444874,0.05312810530749445,1.0174081237911026
MESSIDOR2,vit_b_imagenet,vtdr_miss,random_gate_only,0.2,2000,526,106,517,28,0.20764285714285713,0.07142857142857142,0.35714285714285715,5.814,2.0,10.0,22.186,18.0,26.0,0.05282380952380953,0.04285714285714286,0.06190476190476191,1.0303787061994607,0.35444743935309975,1.7722371967654988,0.20502901353965183,5.740812379110252,22.259187620889747,0.05299806576402321,1.0174081237911026
