dataset,backbone,event,method,n,accuracy,event_count,event_rate,auroc_error,aurc,augrc,partial_augrc_70_90,budget,top_k,total_event,top20_event_recall,top20_captured_event_count,top20_residual_event_count,top20_residual_event_rate
MESSIDOR2,retfound_mae_cfp_official_like,vtdr_miss,confidence_only_1msp,526,0.564638783269962,26,0.049429657794676805,0.7790769230769231,0.016959273011642056,0.011602018245167631,0.026621391085601926,0.2,106,26,0.4230769230769231,11,15,0.028517110266159697
MESSIDOR2,retfound_mae_cfp_official_like,vtdr_miss,negative_margin,526,0.564638783269962,26,0.049429657794676805,0.7755384615384615,0.017453104971352527,0.011768277696656015,0.027306307739016027,0.2,106,26,0.46153846153846156,12,14,0.026615969581749048
MESSIDOR2,retfound_mae_cfp_official_like,vtdr_miss,entropy,526,0.564638783269962,26,0.049429657794676805,0.7752307692307693,0.01700786121837899,0.011782735040263701,0.026026832829735863,0.2,106,26,0.5,13,13,0.024714828897338403
MESSIDOR2,retfound_mae_cfp_official_like,vtdr_miss,expected_gap,526,0.564638783269962,26,0.049429657794676805,0.612,0.03659274331167599,0.019452355824140868,0.036878876375254804,0.2,106,26,0.23076923076923078,6,20,0.03802281368821293
MESSIDOR2,retfound_mae_cfp_official_like,vtdr_miss,severe_prob_mass,526,0.564638783269962,26,0.049429657794676805,0.8538461538461538,0.010973522381895123,0.00808888374850005,0.011973933409475343,0.2,106,26,0.7692307692307693,20,6,0.011406844106463879
MESSIDOR2,retfound_mae_cfp_official_like,vtdr_miss,gated_severe_prob_mass_only,526,0.564638783269962,26,0.049429657794676805,0.8798461538461538,0.009343444154513741,0.0068672382136506244,0.009756899767236767,0.2,106,26,0.8076923076923077,21,5,0.009505703422053232
MESSIDOR2,swin_tiny,general_error,confidence_only_1msp,526,0.6064638783269962,207,0.3935361216730038,0.6438144564081596,0.29254596972605973,0.1624445199439055,0.2765183825123972,0.2,106,207,0.30917874396135264,64,143,0.2718631178707224
MESSIDOR2,swin_tiny,general_error,negative_margin,526,0.6064638783269962,207,0.3935361216730038,0.6441021913285782,0.2921139510025984,0.162375847561769,0.2770457141204875,0.2,106,207,0.30917874396135264,64,143,0.2718631178707224
MESSIDOR2,swin_tiny,general_error,entropy,526,0.6064638783269962,207,0.3935361216730038,0.6424060696924265,0.2929231667961149,0.16278065318278417,0.2765845248594023,0.2,106,207,0.30917874396135264,64,143,0.2718631178707224
MESSIDOR2,swin_tiny,general_error,expected_gap,526,0.6064638783269962,207,0.3935361216730038,0.5822391834385837,0.3745584237220348,0.17714040972111783,0.28262986308895605,0.2,106,207,0.28502415458937197,59,148,0.2813688212927757
MESSIDOR2,swin_tiny,general_error,severe_prob_mass,526,0.6064638783269962,207,0.3935361216730038,0.6270501113079824,0.320405146673266,0.16644558978733248,0.28118051439228553,0.2,106,207,0.28502415458937197,59,148,0.2813688212927757
MESSIDOR2,swin_tiny,general_error,gated_severe_prob_mass_only,526,0.6064638783269962,207,0.3935361216730038,0.6331228325231324,0.3129529629477964,0.1649781694111524,0.27784628952276313,0.2,106,207,0.2995169082125604,62,145,0.27566539923954375
MESSIDOR2,swin_tiny,large_undergrading,confidence_only_1msp,526,0.6064638783269962,77,0.14638783269961977,0.6649119254909901,0.08489089812108071,0.05258678020500514,0.09583592360739636,0.2,106,77,0.35064935064935066,27,50,0.09505703422053231
MESSIDOR2,swin_tiny,large_undergrading,negative_margin,526,0.6064638783269962,77,0.14638783269961977,0.6667920053220722,0.08449001089164862,0.05235184837138024,0.0956042446760832,0.2,106,77,0.35064935064935066,27,50,0.09505703422053231
MESSIDOR2,swin_tiny,large_undergrading,entropy,526,0.6064638783269962,77,0.14638783269961977,0.6633789373210308,0.08509450940869207,0.05277834000780697,0.09636108661394556,0.2,106,77,0.35064935064935066,27,50,0.09505703422053231
MESSIDOR2,swin_tiny,large_undergrading,expected_gap,526,0.6064638783269962,77,0.14638783269961977,0.7521476296531976,0.061757416160026495,0.04168594312481025,0.0764988650985268,0.2,106,77,0.5064935064935064,39,38,0.07224334600760456
MESSIDOR2,swin_tiny,large_undergrading,severe_prob_mass,526,0.6064638783269962,77,0.14638783269961977,0.614988574899488,0.0984276939036189,0.058825123971721446,0.1157545287628851,0.2,106,77,0.19480519480519481,15,62,0.11787072243346007
MESSIDOR2,swin_tiny,large_undergrading,gated_severe_prob_mass_only,526,0.6064638783269962,77,0.14638783269961977,0.6305787753449223,0.09226182730893895,0.05687699692058581,0.11255041998583178,0.2,106,77,0.2077922077922078,16,61,0.11596958174904944
MESSIDOR2,swin_tiny,vtdr_miss,confidence_only_1msp,526,0.6064638783269962,29,0.055133079847908745,0.7767293415666412,0.015665354934979375,0.013150761179140944,0.03459823042114242,0.2,106,29,0.41379310344827586,12,17,0.03231939163498099
MESSIDOR2,swin_tiny,vtdr_miss,negative_margin,526,0.6064638783269962,29,0.055133079847908745,0.7661139249288836,0.016539193517942436,0.013703754572134914,0.035431334846535295,0.2,106,29,0.41379310344827586,12,17,0.03231939163498099
MESSIDOR2,swin_tiny,vtdr_miss,entropy,526,0.6064638783269962,29,0.055133079847908745,0.7811003954763062,0.015283035143655168,0.012923058017319897,0.033762595960618196,0.2,106,29,0.41379310344827586,12,17,0.03231939163498099
MESSIDOR2,swin_tiny,vtdr_miss,expected_gap,526,0.6064638783269962,29,0.055133079847908745,0.6330396170124194,0.044019264350135756,0.020636050832020126,0.03195434370888692,0.2,106,29,0.41379310344827586,12,17,0.03231939163498099
MESSIDOR2,swin_tiny,vtdr_miss,severe_prob_mass,526,0.6064638783269962,29,0.055133079847908745,0.924790120030528,0.005953571137739427,0.005437768364440716,0.008748138617010511,0.2,106,29,0.8620689655172413,25,4,0.0076045627376425855
MESSIDOR2,swin_tiny,vtdr_miss,gated_severe_prob_mass_only,526,0.6064638783269962,29,0.055133079847908745,0.9388746270727815,0.005138658098716383,0.004704058176350678,0.007540950425768768,0.2,106,29,0.8620689655172413,25,4,0.0076045627376425855
MESSIDOR2,vit_b_imagenet,general_error,confidence_only_1msp,526,0.5817490494296578,220,0.41825095057034223,0.6250668449197861,0.3474459313963198,0.17869638132689497,0.2919299107981899,0.2,106,220,0.30454545454545456,67,153,0.2908745247148289
MESSIDOR2,vit_b_imagenet,general_error,negative_margin,526,0.5817490494296578,220,0.41825095057034223,0.6261586452762923,0.3461629769809772,0.1784289204701528,0.291595223293672,0.2,106,220,0.30454545454545456,67,153,0.2908745247148289
