dataset,backbone,target,ranking_method,score_col,budget,n,top_k,total_event,captured_event,residual_event,base_event_rate,flagged_event_rate,event_recall,enrichment_ratio,low_risk_npv
MESSIDOR2,convnext_tiny,vision_threatening_dr_miss,gated_severe_prob_mass_only,gated_severe_prob_mass,0.3,526,158,27,25,2,0.051330798479087454,0.15822784810126583,0.9259259259259259,3.082512892639475,0.9945652173913043
MESSIDOR2,convnext_tiny,vision_threatening_dr_miss,severe_prob_mass_only,severe_prob_mass,0.1,526,53,27,22,5,0.051330798479087454,0.41509433962264153,0.8148148148148148,8.086652690426275,0.9894291754756871
MESSIDOR2,convnext_tiny,vision_threatening_dr_miss,severe_prob_mass_only,severe_prob_mass,0.2,526,106,27,24,3,0.051330798479087454,0.22641509433962265,0.8888888888888888,4.410901467505241,0.9928571428571429
MESSIDOR2,convnext_tiny,vision_threatening_dr_miss,severe_prob_mass_only,severe_prob_mass,0.3,526,158,27,25,2,0.051330798479087454,0.15822784810126583,0.9259259259259259,3.082512892639475,0.9945652173913043
MESSIDOR2,convnext_tiny,vision_threatening_dr_miss,entropy_only,entropy,0.1,526,53,27,12,15,0.051330798479087454,0.22641509433962265,0.4444444444444444,4.410901467505241,0.9682875264270613
MESSIDOR2,convnext_tiny,vision_threatening_dr_miss,entropy_only,entropy,0.2,526,106,27,24,3,0.051330798479087454,0.22641509433962265,0.8888888888888888,4.410901467505241,0.9928571428571429
MESSIDOR2,convnext_tiny,vision_threatening_dr_miss,entropy_only,entropy,0.3,526,158,27,25,2,0.051330798479087454,0.15822784810126583,0.9259259259259259,3.082512892639475,0.9945652173913043
MESSIDOR2,convnext_tiny,vision_threatening_dr_miss,low_margin_only,margin,0.1,526,53,27,9,18,0.051330798479087454,0.16981132075471697,0.3333333333333333,3.3081761006289305,0.9619450317124736
MESSIDOR2,convnext_tiny,vision_threatening_dr_miss,low_margin_only,margin,0.2,526,106,27,24,3,0.051330798479087454,0.22641509433962265,0.8888888888888888,4.410901467505241,0.9928571428571429
MESSIDOR2,convnext_tiny,vision_threatening_dr_miss,low_margin_only,margin,0.3,526,158,27,25,2,0.051330798479087454,0.15822784810126583,0.9259259259259259,3.082512892639475,0.9945652173913043
MESSIDOR2,convnext_tiny,vision_threatening_dr_miss,low_confidence_only,confidence,0.1,526,53,27,11,16,0.051330798479087454,0.20754716981132076,0.4074074074074074,4.043326345213138,0.9661733615221987
MESSIDOR2,convnext_tiny,vision_threatening_dr_miss,low_confidence_only,confidence,0.2,526,106,27,24,3,0.051330798479087454,0.22641509433962265,0.8888888888888888,4.410901467505241,0.9928571428571429
MESSIDOR2,convnext_tiny,vision_threatening_dr_miss,low_confidence_only,confidence,0.3,526,158,27,25,2,0.051330798479087454,0.15822784810126583,0.9259259259259259,3.082512892639475,0.9945652173913043
MESSIDOR2,convnext_tiny,dangerous_undergrading,expected_gap_only,expected_gap,0.1,526,53,115,31,84,0.21863117870722434,0.5849056603773585,0.26956521739130435,2.6753076292042657,0.8224101479915433
MESSIDOR2,convnext_tiny,dangerous_undergrading,expected_gap_only,expected_gap,0.2,526,106,115,58,57,0.21863117870722434,0.5471698113207547,0.5043478260869565,2.5027071369975387,0.8642857142857143
MESSIDOR2,convnext_tiny,dangerous_undergrading,expected_gap_only,expected_gap,0.3,526,158,115,69,46,0.21863117870722434,0.43670886075949367,0.6,1.9974683544303797,0.875
MESSIDOR2,convnext_tiny,dangerous_undergrading,gated_severe_prob_mass_only,gated_severe_prob_mass,0.1,526,53,115,28,87,0.21863117870722434,0.5283018867924528,0.24347826086956523,2.4164068908941756,0.8160676532769556
MESSIDOR2,convnext_tiny,dangerous_undergrading,gated_severe_prob_mass_only,gated_severe_prob_mass,0.2,526,106,115,49,66,0.21863117870722434,0.46226415094339623,0.4260869565217391,2.1143560295324035,0.8428571428571429
MESSIDOR2,convnext_tiny,dangerous_undergrading,gated_severe_prob_mass_only,gated_severe_prob_mass,0.3,526,158,115,69,46,0.21863117870722434,0.43670886075949367,0.6,1.9974683544303797,0.875
MESSIDOR2,convnext_tiny,dangerous_undergrading,severe_prob_mass_only,severe_prob_mass,0.1,526,53,115,27,88,0.21863117870722434,0.5094339622641509,0.23478260869565218,2.330106644790812,0.813953488372093
MESSIDOR2,convnext_tiny,dangerous_undergrading,severe_prob_mass_only,severe_prob_mass,0.2,526,106,115,46,69,0.21863117870722434,0.4339622641509434,0.4,1.9849056603773585,0.8357142857142857
MESSIDOR2,convnext_tiny,dangerous_undergrading,severe_prob_mass_only,severe_prob_mass,0.3,526,158,115,66,49,0.21863117870722434,0.4177215189873418,0.5739130434782609,1.9106219042377546,0.8668478260869565
MESSIDOR2,convnext_tiny,dangerous_undergrading,entropy_only,entropy,0.1,526,53,115,20,95,0.21863117870722434,0.37735849056603776,0.17391304347826086,1.7260049220672684,0.7991543340380549
MESSIDOR2,convnext_tiny,dangerous_undergrading,entropy_only,entropy,0.2,526,106,115,45,70,0.21863117870722434,0.42452830188679247,0.391304347826087,1.9417555373256767,0.8333333333333334
MESSIDOR2,convnext_tiny,dangerous_undergrading,entropy_only,entropy,0.3,526,158,115,66,49,0.21863117870722434,0.4177215189873418,0.5739130434782609,1.9106219042377546,0.8668478260869565
MESSIDOR2,convnext_tiny,dangerous_undergrading,low_margin_only,margin,0.1,526,53,115,17,98,0.21863117870722434,0.32075471698113206,0.14782608695652175,1.4671041837571779,0.7928118393234672
