target,target_role,fold,evaluation_scope,backbone,ranking_method,n_records,positive_records,auroc,auprc
large_undergrading,primary,3,pooled_analysis_only,ALL,uncertainty_rank_fusion,1308,58,0.7283724137931035,0.09303762123911302
large_undergrading,primary,3,pooled_analysis_only,ALL,ophagent_combined,1308,58,0.7823310344827585,0.14485110881238114
large_undergrading,primary,3,pooled_analysis_only,ALL,severe_prob_mass_only,1308,58,0.6530206896551725,0.06107095575490114
large_undergrading,primary,3,pooled_analysis_only,ALL,gated_severe_prob_mass_only,1308,58,0.7522206896551724,0.11434560073902066
large_undergrading,primary,3,pooled_analysis_only,ALL,expected_grade_only,1308,58,0.6541793103448276,0.06035968840194643
large_undergrading,primary,3,pooled_analysis_only,ALL,expected_gap_only,1308,58,0.7369379310344827,0.13450905778950892
large_undergrading,primary,3,pooled_analysis_only,ALL,top2_more_severe_only,1308,58,0.7552275862068967,0.1204867471271572
large_undergrading,primary,3,pooled_analysis_only,ALL,learned_logistic,1308,58,0.7948689655172414,0.1495749469219507
large_undergrading,primary,3,per_backbone,convnext_tiny,confidence_only,218,13,0.850656660412758,0.29165917184660684
large_undergrading,primary,3,per_backbone,convnext_tiny,margin_only,218,13,0.825891181988743,0.20174741150371397
large_undergrading,primary,3,per_backbone,convnext_tiny,entropy_only,218,13,0.8611632270168856,0.34866195559259666
large_undergrading,primary,3,per_backbone,convnext_tiny,uncertainty_rank_fusion,218,13,0.8545966228893058,0.2799299146696172
large_undergrading,primary,3,per_backbone,convnext_tiny,ophagent_combined,218,13,0.8622889305816135,0.2667463867799956
large_undergrading,primary,3,per_backbone,convnext_tiny,severe_prob_mass_only,218,13,0.724202626641651,0.10480096380366925
large_undergrading,primary,3,per_backbone,convnext_tiny,gated_severe_prob_mass_only,218,13,0.8108818011257036,0.25878997542293697
large_undergrading,primary,3,per_backbone,convnext_tiny,expected_grade_only,218,13,0.6780487804878048,0.09354307293481845
large_undergrading,primary,3,per_backbone,convnext_tiny,expected_gap_only,218,13,0.8581613508442777,0.3909027368267329
large_undergrading,primary,3,per_backbone,convnext_tiny,top2_more_severe_only,218,13,0.8245778611632271,0.2049654326573689
large_undergrading,primary,3,per_backbone,convnext_tiny,learned_logistic,218,13,0.8363977485928706,0.2548580163641573
large_undergrading,primary,3,per_backbone,retfound_official_like,confidence_only,218,7,0.6702775897088693,0.059805742767220824
large_undergrading,primary,3,per_backbone,retfound_official_like,margin_only,218,7,0.6533513879485443,0.05500978514618753
large_undergrading,primary,3,per_backbone,retfound_official_like,entropy_only,218,7,0.6946513202437372,0.07190690769857985
large_undergrading,primary,3,per_backbone,retfound_official_like,uncertainty_rank_fusion,218,7,0.6723087339201084,0.05975843678570385
large_undergrading,primary,3,per_backbone,retfound_official_like,ophagent_combined,218,7,0.7352742044685172,0.1282348540607465
large_undergrading,primary,3,per_backbone,retfound_official_like,severe_prob_mass_only,218,7,0.6655382532159784,0.054319165278659653
large_undergrading,primary,3,per_backbone,retfound_official_like,gated_severe_prob_mass_only,218,7,0.7745429925524712,0.09770389133914437
large_undergrading,primary,3,per_backbone,retfound_official_like,expected_grade_only,218,7,0.6648612051455652,0.05428113198043408
large_undergrading,primary,3,per_backbone,retfound_official_like,expected_gap_only,218,7,0.7488151658767772,0.0786860808395727
large_undergrading,primary,3,per_backbone,retfound_official_like,top2_more_severe_only,218,7,0.7494922139471902,0.07365392677892678
large_undergrading,primary,3,per_backbone,retfound_official_like,learned_logistic,218,7,0.7271496276235612,0.07585877204887852
large_undergrading,primary,3,per_backbone,swin_tiny,confidence_only,218,7,0.8097494922139471,0.09423626069863063
large_undergrading,primary,3,per_backbone,swin_tiny,margin_only,218,7,0.8111035883547733,0.10354901269440092
large_undergrading,primary,3,per_backbone,swin_tiny,entropy_only,218,7,0.8503723764387271,0.12835370573264804
large_undergrading,primary,3,per_backbone,swin_tiny,uncertainty_rank_fusion,218,7,0.8185511171293162,0.09791211474833013
large_undergrading,primary,3,per_backbone,swin_tiny,ophagent_combined,218,7,0.8463100880162491,0.18920335840733044
large_undergrading,primary,3,per_backbone,swin_tiny,severe_prob_mass_only,218,7,0.7989167230873393,0.08479788617613017
large_undergrading,primary,3,per_backbone,swin_tiny,gated_severe_prob_mass_only,218,7,0.8889641164522682,0.21739154490861343
large_undergrading,primary,3,per_backbone,swin_tiny,expected_grade_only,218,7,0.7725118483412323,0.07611246166433056
large_undergrading,primary,3,per_backbone,swin_tiny,expected_gap_only,218,7,0.5985104942450914,0.21625800285757912
large_undergrading,primary,3,per_backbone,swin_tiny,top2_more_severe_only,218,7,0.5822613405551793,0.14432836131394453
large_undergrading,primary,3,per_backbone,swin_tiny,learned_logistic,218,7,0.8456330399458363,0.24705812149421172
large_undergrading,primary,3,per_backbone,vit_b_imagenet,confidence_only,218,9,0.680489101541733,0.07807903491645324
large_undergrading,primary,3,per_backbone,vit_b_imagenet,margin_only,218,9,0.6730462519936204,0.0716962901403424
large_undergrading,primary,3,per_backbone,vit_b_imagenet,entropy_only,218,9,0.6943115364167995,0.08639654004729691
large_undergrading,primary,3,per_backbone,vit_b_imagenet,uncertainty_rank_fusion,218,9,0.6855396065922381,0.08169115304151614
large_undergrading,primary,3,per_backbone,vit_b_imagenet,ophagent_combined,218,9,0.7341839447102605,0.11603098509795508
large_undergrading,primary,3,per_backbone,vit_b_imagenet,severe_prob_mass_only,218,9,0.6182881446039341,0.05712332244064771
large_undergrading,primary,3,per_backbone,vit_b_imagenet,gated_severe_prob_mass_only,218,9,0.7522594364699628,0.10911123840801203
large_undergrading,primary,3,per_backbone,vit_b_imagenet,expected_grade_only,218,9,0.6081871345029239,0.05621287558144498
large_undergrading,primary,3,per_backbone,vit_b_imagenet,expected_gap_only,218,9,0.708133971291866,0.21583135327793446
large_undergrading,primary,3,per_backbone,vit_b_imagenet,top2_more_severe_only,218,9,0.6719829877724615,0.11164652004825834
large_undergrading,primary,3,per_backbone,vit_b_imagenet,learned_logistic,218,9,0.7921318447634237,0.22280606410270692
large_undergrading,primary,3,per_backbone,vit_b_official_like,confidence_only,218,12,0.7330097087378641,0.11225301015188276
large_undergrading,primary,3,per_backbone,vit_b_official_like,margin_only,218,12,0.7139967637540453,0.1730118592073149
large_undergrading,primary,3,per_backbone,vit_b_official_like,entropy_only,218,12,0.7524271844660194,0.13120960142183133
large_undergrading,primary,3,per_backbone,vit_b_official_like,uncertainty_rank_fusion,218,12,0.7346278317152103,0.11270955702607749
large_undergrading,primary,3,per_backbone,vit_b_official_like,ophagent_combined,218,12,0.7807443365695792,0.1613665511705654
large_undergrading,primary,3,per_backbone,vit_b_official_like,severe_prob_mass_only,218,12,0.720873786407767,0.0980945800343784
large_undergrading,primary,3,per_backbone,vit_b_official_like,gated_severe_prob_mass_only,218,12,0.7965210355987056,0.21246656502212546
large_undergrading,primary,3,per_backbone,vit_b_official_like,expected_grade_only,218,12,0.6901294498381877,0.0972185714866907
large_undergrading,primary,3,per_backbone,vit_b_official_like,expected_gap_only,218,12,0.8410194174757282,0.3435433573301059
large_undergrading,primary,3,per_backbone,vit_b_official_like,top2_more_severe_only,218,12,0.808252427184466,0.15938698291939757
large_undergrading,primary,3,per_backbone,vit_b_official_like,learned_logistic,218,12,0.8131067961165048,0.20007202789665166
large_undergrading,primary,3,per_backbone,vit_l_official_like,confidence_only,218,10,0.6735576923076924,0.10248054849488239
large_undergrading,primary,3,per_backbone,vit_l_official_like,margin_only,218,10,0.6663461538461538,0.09817382790685482
large_undergrading,primary,3,per_backbone,vit_l_official_like,entropy_only,218,10,0.7158653846153846,0.13635684243669102
large_undergrading,primary,3,per_backbone,vit_l_official_like,uncertainty_rank_fusion,218,10,0.6819711538461539,0.10513032618718016
large_undergrading,primary,3,per_backbone,vit_l_official_like,ophagent_combined,218,10,0.7125,0.22760502086811982
large_undergrading,primary,3,per_backbone,vit_l_official_like,severe_prob_mass_only,218,10,0.6235576923076923,0.061751166216064246
large_undergrading,primary,3,per_backbone,vit_l_official_like,gated_severe_prob_mass_only,218,10,0.7245192307692307,0.09739759176595335
large_undergrading,primary,3,per_backbone,vit_l_official_like,expected_grade_only,218,10,0.6105769230769231,0.06011148357667318
large_undergrading,primary,3,per_backbone,vit_l_official_like,expected_gap_only,218,10,0.639423076923077,0.09983057597313905
large_undergrading,primary,3,per_backbone,vit_l_official_like,top2_more_severe_only,218,10,0.75625,0.1287190675598824
large_undergrading,primary,3,per_backbone,vit_l_official_like,learned_logistic,218,10,0.7596153846153846,0.11988775283335831
large_undergrading,primary,4,pooled_analysis_only,ALL,confidence_only,1338,71,0.710261569416499,0.12621257782914314
large_undergrading,primary,4,pooled_analysis_only,ALL,margin_only,1338,71,0.7146970219104684,0.11708483958296227
large_undergrading,primary,4,pooled_analysis_only,ALL,entropy_only,1338,71,0.7055370899429727,0.12587109681170758
large_undergrading,primary,4,pooled_analysis_only,ALL,uncertainty_rank_fusion,1338,71,0.7130795824671788,0.13003910501949947
large_undergrading,primary,4,pooled_analysis_only,ALL,ophagent_combined,1338,71,0.8107984926131373,0.2127808530836814
large_undergrading,primary,4,pooled_analysis_only,ALL,severe_prob_mass_only,1338,71,0.6752559556232421,0.07961541841973496
large_undergrading,primary,4,pooled_analysis_only,ALL,gated_severe_prob_mass_only,1338,71,0.7749035650366285,0.16180492944803276
large_undergrading,primary,4,pooled_analysis_only,ALL,expected_grade_only,1338,71,0.7160087597407649,0.0861050994956853
large_undergrading,primary,4,pooled_analysis_only,ALL,expected_gap_only,1338,71,0.7312493747012461,0.14512342376099385
large_undergrading,primary,4,pooled_analysis_only,ALL,top2_more_severe_only,1338,71,0.7591071289616149,0.14486939755325182
