target,target_role,evaluation_scope,backbone,ranking_method,n_folds,mean_auroc,std_auroc,mean_auprc,std_auprc,mean_positive_records
vision_threatening_dr_miss,primary,per_backbone,retfound_official_like,margin_only,5,0.808460216305245,0.039469741275432006,0.1834616291370174,0.08337408845888512,12.0
vision_threatening_dr_miss,primary,per_backbone,retfound_official_like,severe_prob_mass_only,5,0.7773748722201398,0.032198310213886736,0.12203414076751255,0.04298259086761541,12.0
vision_threatening_dr_miss,primary,per_backbone,retfound_official_like,expected_grade_only,5,0.7744316592733339,0.03044732670385157,0.11917240663724342,0.04084595067095167,12.0
vision_threatening_dr_miss,primary,per_backbone,swin_tiny,gated_severe_prob_mass_only,5,0.8967974943279785,0.031514753957073094,0.369195754405125,0.09324255755514727,12.4
vision_threatening_dr_miss,primary,per_backbone,swin_tiny,learned_logistic,5,0.8876640939383936,0.032513068402309685,0.3535500459717952,0.08872726101906973,12.4
vision_threatening_dr_miss,primary,per_backbone,swin_tiny,ophagent_combined,5,0.7874837654857263,0.019922821980176274,0.2512657490024406,0.07489998187700264,12.4
vision_threatening_dr_miss,primary,per_backbone,swin_tiny,expected_gap_only,5,0.7272810861242549,0.09377402207517278,0.2399694643316807,0.0943720974302214,12.4
vision_threatening_dr_miss,primary,per_backbone,swin_tiny,top2_more_severe_only,5,0.6865279719792599,0.10060699577297862,0.16732794775340815,0.050942984195628885,12.4
vision_threatening_dr_miss,primary,per_backbone,swin_tiny,entropy_only,5,0.7601470233923106,0.027047219819440436,0.144519832378381,0.04172279691257959,12.4
vision_threatening_dr_miss,primary,per_backbone,swin_tiny,severe_prob_mass_only,5,0.8054324160050147,0.025162292476169554,0.1372900174048744,0.015992532066252212,12.4
vision_threatening_dr_miss,primary,per_backbone,swin_tiny,uncertainty_rank_fusion,5,0.7525440692133996,0.022886888643394807,0.13716557477969576,0.0331139898557334,12.4
vision_threatening_dr_miss,primary,per_backbone,swin_tiny,confidence_only,5,0.7507722698021857,0.02147972132745727,0.13709730776766946,0.030930369606035443,12.4
vision_threatening_dr_miss,primary,per_backbone,swin_tiny,expected_grade_only,5,0.7997703833982309,0.026464474957207086,0.13480498374434308,0.015901809136966025,12.4
vision_threatening_dr_miss,primary,per_backbone,swin_tiny,margin_only,5,0.7488891494431666,0.019259060052152,0.12017588133732375,0.012444401741622198,12.4
vision_threatening_dr_miss,primary,per_backbone,vit_b_imagenet,gated_severe_prob_mass_only,5,0.8804916974880219,0.03729718234714534,0.29944306043018515,0.08569058159757631,11.6
vision_threatening_dr_miss,primary,per_backbone,vit_b_imagenet,learned_logistic,5,0.8691470841169382,0.040761783924006534,0.2947868041176032,0.12490087648909934,11.6
vision_threatening_dr_miss,primary,per_backbone,vit_b_imagenet,ophagent_combined,5,0.8020384409503292,0.04999791953559036,0.25126261799900157,0.09093083602848645,11.6
vision_threatening_dr_miss,primary,per_backbone,vit_b_imagenet,expected_gap_only,5,0.7541737609731043,0.09212004855014339,0.24404839296860853,0.10828227992263725,11.6
vision_threatening_dr_miss,primary,per_backbone,vit_b_imagenet,top2_more_severe_only,5,0.7280653397926384,0.09053861001624229,0.18624189320642476,0.06878162986660538,11.6
vision_threatening_dr_miss,primary,per_backbone,vit_b_imagenet,uncertainty_rank_fusion,5,0.7651688933462614,0.04314298657691255,0.1692724836037695,0.0689846102294411,11.6
vision_threatening_dr_miss,primary,per_backbone,vit_b_imagenet,entropy_only,5,0.7674941987444824,0.04547116118434829,0.15881599418371972,0.08302208640958264,11.6
vision_threatening_dr_miss,primary,per_backbone,vit_b_imagenet,confidence_only,5,0.7640808618467763,0.04317572153926721,0.15792527630557068,0.07055077885909979,11.6
vision_threatening_dr_miss,primary,per_backbone,vit_b_imagenet,margin_only,5,0.7613377022087061,0.04281383649561369,0.13099508906891047,0.032508385592925584,11.6
