target,target_role,evaluation_scope,backbone,ranking_method,review_budget,n_folds,mean_recall,std_recall,mean_precision,std_precision,mean_lift,std_lift,mean_captured,mean_total,mean_residual,total_captured,total_dangerous,total_residual
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,severe_prob_mass_only,0.15,5,0.24113768584356818,0.17132280576704473,0.1017825311942959,0.06383726781102184,1.5946308593367418,1.1256009548028232,3.4,14.2,10.8,17,71,54
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,expected_gap_only,0.15,5,0.2292695539754363,0.07531387591755526,0.09625668449197862,0.03257694631461153,1.5190534955240838,0.4967375491516137,3.2,14.2,11.0,16,71,55
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,ophagent_combined,0.2,5,0.6213316095669037,0.14926084596512393,0.1988888888888889,0.055405444583183874,3.091953895777425,0.740182688893951,8.8,14.2,5.4,44,71,27
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,gated_severe_prob_mass_only,0.2,5,0.6178151260504202,0.22602573980416832,0.1986868686868687,0.07226423867873487,3.074279772515067,1.123480214331896,8.8,14.2,5.4,44,71,27
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,learned_logistic,0.2,5,0.6095669036845507,0.1490441508315996,0.19434343434343435,0.05091425138186896,3.033665125723949,0.7404434093194439,8.6,14.2,5.6,43,71,28
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,top2_more_severe_only,0.2,5,0.5941822882999354,0.13960087564617882,0.1898989898989899,0.053936461918570815,2.9568165494636083,0.6916990413909577,8.4,14.2,5.8,42,71,29
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,uncertainty_rank_fusion,0.2,5,0.44173238526179703,0.10105919101356674,0.14010101010101011,0.032511290057861526,2.198898617722147,0.5039915349338522,6.2,14.2,8.0,31,71,40
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,margin_only,0.2,5,0.4371040723981901,0.10690374435305997,0.13565656565656564,0.021882737455610257,2.176309017779606,0.535438057619449,6.0,14.2,8.2,30,71,41
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,confidence_only,0.2,5,0.43248868778280547,0.12702220663280478,0.13555555555555557,0.03468082932193076,2.1528902143608026,0.6330390705277916,6.0,14.2,8.2,30,71,41
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,severe_prob_mass_only,0.2,5,0.40643826761473817,0.13174003563298037,0.12646464646464645,0.0328799127800242,2.0234975482034305,0.6571654257042971,5.6,14.2,8.6,28,71,43
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,expected_grade_only,0.2,5,0.38434389140271497,0.21586925967819406,0.12181818181818183,0.06407317614124063,1.9123591114767584,1.0738957316163327,5.4,14.2,8.8,27,71,44
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,entropy_only,0.2,5,0.3639043309631545,0.09543050155619306,0.11303030303030304,0.021998413833795798,1.8120463849875612,0.47772515334784255,5.0,14.2,9.2,25,71,46
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,expected_gap_only,0.2,5,0.25893988364576603,0.11116974636532673,0.08131313131313131,0.03389863473646432,1.2892276024628966,0.5536301573767751,3.6,14.2,10.6,18,71,53
