bootstrap_id,target,method,brute_recall,weighted_recall,recall_abs_diff,brute_mean_backbone_recall,weighted_mean_backbone_recall,mean_backbone_recall_abs_diff,brute_captured,weighted_captured,captured_abs_diff,brute_total,weighted_total,total_abs_diff,brute_residual,weighted_residual,residual_abs_diff
43,vision_threatening_dr_miss,learned_logistic,0.713903743315508,0.713903743315508,0.0,0.7197644730606393,0.7197644730606393,0.0,267.0,267.0,0.0,374.0,374.0,0.0,107.0,107.0,0.0
43,vision_threatening_dr_miss,ophagent_combined,0.6363636363636364,0.6363636363636364,0.0,0.6400813741516554,0.6400813741516554,0.0,238.0,238.0,0.0,374.0,374.0,0.0,136.0,136.0,0.0
44,vision_threatening_dr_miss,learned_logistic,0.726027397260274,0.726027397260274,0.0,0.7237810259284106,0.7237810259284106,0.0,265.0,265.0,0.0,365.0,365.0,0.0,100.0,100.0,0.0
44,vision_threatening_dr_miss,ophagent_combined,0.6273972602739726,0.6273972602739726,0.0,0.6269399591143542,0.6269399591143542,0.0,229.0,229.0,0.0,365.0,365.0,0.0,136.0,136.0,0.0
45,vision_threatening_dr_miss,learned_logistic,0.6715686274509803,0.6715686274509803,0.0,0.6664898646653444,0.6664898646653444,0.0,274.0,274.0,0.0,408.0,408.0,0.0,134.0,134.0,0.0
45,vision_threatening_dr_miss,ophagent_combined,0.5245098039215687,0.5245098039215687,0.0,0.5096980450385528,0.5096980450385528,0.0,214.0,214.0,0.0,408.0,408.0,0.0,194.0,194.0,0.0
46,vision_threatening_dr_miss,learned_logistic,0.7752293577981652,0.7752293577981652,0.0,0.7729944042364235,0.7729944042364235,0.0,338.0,338.0,0.0,436.0,436.0,0.0,98.0,98.0,0.0
46,vision_threatening_dr_miss,ophagent_combined,0.6100917431192661,0.6100917431192661,0.0,0.6047114688013455,0.6047114688013455,0.0,266.0,266.0,0.0,436.0,436.0,0.0,170.0,170.0,0.0
47,vision_threatening_dr_miss,learned_logistic,0.7116402116402116,0.7116402116402116,0.0,0.7102806807520791,0.7102806807520791,0.0,269.0,269.0,0.0,378.0,378.0,0.0,109.0,109.0,0.0
47,vision_threatening_dr_miss,ophagent_combined,0.5793650793650794,0.5793650793650794,0.0,0.5758341695576864,0.5758341695576864,0.0,219.0,219.0,0.0,378.0,378.0,0.0,159.0,159.0,0.0
48,vision_threatening_dr_miss,learned_logistic,0.7219251336898396,0.7219251336898396,0.0,0.7171045380348664,0.7171045380348664,0.0,270.0,270.0,0.0,374.0,374.0,0.0,104.0,104.0,0.0
48,vision_threatening_dr_miss,ophagent_combined,0.5855614973262032,0.5855614973262032,0.0,0.5711241392479085,0.5711241392479085,0.0,219.0,219.0,0.0,374.0,374.0,0.0,155.0,155.0,0.0
49,vision_threatening_dr_miss,learned_logistic,0.7213114754098361,0.7213114754098361,0.0,0.7186230274728747,0.7186230274728747,0.0,264.0,264.0,0.0,366.0,366.0,0.0,102.0,102.0,0.0
49,vision_threatening_dr_miss,ophagent_combined,0.6229508196721312,0.6229508196721312,0.0,0.6216305161095517,0.6216305161095517,0.0,228.0,228.0,0.0,366.0,366.0,0.0,138.0,138.0,0.0
0,dangerous_undergrading,learned_logistic,0.55,0.55,0.0,0.5496854354043841,0.5496854354043841,0.0,286.0,286.0,0.0,520.0,520.0,0.0,234.0,234.0,0.0
0,dangerous_undergrading,gated_severe_prob_mass_only,0.6403846153846153,0.6403846153846153,0.0,0.6411652613052428,0.6411652613052428,0.0,333.0,333.0,0.0,520.0,520.0,0.0,187.0,187.0,0.0
1,dangerous_undergrading,learned_logistic,0.6232686980609419,0.6232686980609419,0.0,0.6196767733138809,0.6196767733138809,0.0,225.0,225.0,0.0,361.0,361.0,0.0,136.0,136.0,0.0
1,dangerous_undergrading,gated_severe_prob_mass_only,0.6980609418282548,0.6980609418282548,0.0,0.691394727998627,0.691394727998627,0.0,252.0,252.0,0.0,361.0,361.0,0.0,109.0,109.0,0.0
2,dangerous_undergrading,learned_logistic,0.650319829424307,0.650319829424307,0.0,0.6516993003577279,0.6516993003577279,0.0,305.0,305.0,0.0,469.0,469.0,0.0,164.0,164.0,0.0
2,dangerous_undergrading,gated_severe_prob_mass_only,0.6950959488272921,0.6950959488272921,0.0,0.6940041299004968,0.6940041299004968,0.0,326.0,326.0,0.0,469.0,469.0,0.0,143.0,143.0,0.0
3,dangerous_undergrading,learned_logistic,0.6417910447761194,0.6417910447761194,0.0,0.6407791936709476,0.6407791936709476,0.0,301.0,301.0,0.0,469.0,469.0,0.0,168.0,168.0,0.0
3,dangerous_undergrading,gated_severe_prob_mass_only,0.6950959488272921,0.6950959488272921,0.0,0.6944357072236879,0.6944357072236879,0.0,326.0,326.0,0.0,469.0,469.0,0.0,143.0,143.0,0.0
4,dangerous_undergrading,learned_logistic,0.7344173441734417,0.7344173441734417,0.0,0.730519991592252,0.730519991592252,0.0,271.0,271.0,0.0,369.0,369.0,0.0,98.0,98.0,0.0
4,dangerous_undergrading,gated_severe_prob_mass_only,0.7425474254742548,0.7425474254742548,0.0,0.740727286572469,0.740727286572469,0.0,274.0,274.0,0.0,369.0,369.0,0.0,95.0,95.0,0.0
5,dangerous_undergrading,learned_logistic,0.6426799007444168,0.6426799007444168,0.0,0.640395413450291,0.640395413450291,0.0,259.0,259.0,0.0,403.0,403.0,0.0,144.0,144.0,0.0
