seed,target,target_role,fold,feature,standardized_coefficient,abs_standardized_coefficient,sign,train_records,test_records,train_positive_records,test_positive_records,train_unique_images,test_unique_images
42,dangerous_undergrading,secondary,4,confidence,0.18413290923910938,0.18413290923910938,1,5292,1308,338,92,882,218
42,dangerous_undergrading,secondary,4,margin,-0.04006221911046155,0.04006221911046155,-1,5292,1308,338,92,882,218
42,dangerous_undergrading,secondary,4,entropy_norm,-0.2690605693824909,0.2690605693824909,-1,5292,1308,338,92,882,218
42,dangerous_undergrading,secondary,4,pred_grade,0.8155027145182743,0.8155027145182743,1,5292,1308,338,92,882,218
42,dangerous_undergrading,secondary,4,top2_grade,-0.20215792567809637,0.20215792567809637,-1,5292,1308,338,92,882,218
42,dangerous_undergrading,secondary,4,top2_confidence,0.4107115379779703,0.4107115379779703,1,5292,1308,338,92,882,218
42,dangerous_undergrading,secondary,4,severe_prob_mass,-1.0298488932609422,1.0298488932609422,-1,5292,1308,338,92,882,218
42,dangerous_undergrading,secondary,4,expected_grade,1.220425624099156,1.220425624099156,1,5292,1308,338,92,882,218
42,dangerous_undergrading,secondary,4,expected_gap,0.9320125369714869,0.9320125369714869,1,5292,1308,338,92,882,218
42,dangerous_undergrading,secondary,4,top2_more_severe,0.1825843958424008,0.1825843958424008,1,5292,1308,338,92,882,218
42,dangerous_undergrading,secondary,4,pred_le_2,1.2727796258985917,1.2727796258985917,1,5292,1308,338,92,882,218
42,dangerous_undergrading,secondary,4,gated_severe_prob_mass,0.543100345285742,0.543100345285742,1,5292,1308,338,92,882,218
42,dangerous_undergrading,secondary,4,top2_more_severe_conf,-0.1017003509697658,0.1017003509697658,-1,5292,1308,338,92,882,218
42,dangerous_undergrading,secondary,5,confidence,0.09367698615386065,0.09367698615386065,1,5280,1320,383,47,880,220
42,dangerous_undergrading,secondary,5,margin,-0.0410526844375832,0.0410526844375832,-1,5280,1320,383,47,880,220
42,dangerous_undergrading,secondary,5,entropy_norm,-0.22982170573480673,0.22982170573480673,-1,5280,1320,383,47,880,220
42,dangerous_undergrading,secondary,5,pred_grade,0.8228415777173346,0.8228415777173346,1,5280,1320,383,47,880,220
42,dangerous_undergrading,secondary,5,top2_grade,-0.16436872067809258,0.16436872067809258,-1,5280,1320,383,47,880,220
42,dangerous_undergrading,secondary,5,top2_confidence,0.2612465580448369,0.2612465580448369,1,5280,1320,383,47,880,220
42,dangerous_undergrading,secondary,5,severe_prob_mass,-1.1303268119406933,1.1303268119406933,-1,5280,1320,383,47,880,220
42,dangerous_undergrading,secondary,5,expected_grade,1.2021710027828096,1.2021710027828096,1,5280,1320,383,47,880,220
42,dangerous_undergrading,secondary,5,expected_gap,0.8655039645863294,0.8655039645863294,1,5280,1320,383,47,880,220
42,dangerous_undergrading,secondary,5,top2_more_severe,0.09649242682901484,0.09649242682901484,1,5280,1320,383,47,880,220
42,dangerous_undergrading,secondary,5,pred_le_2,1.3230910715675002,1.3230910715675002,1,5280,1320,383,47,880,220
42,dangerous_undergrading,secondary,5,gated_severe_prob_mass,0.42462292207919955,0.42462292207919955,1,5280,1320,383,47,880,220
42,dangerous_undergrading,secondary,5,top2_more_severe_conf,0.09533321896276044,0.09533321896276044,1,5280,1320,383,47,880,220
43,large_undergrading,primary,1,confidence,-0.12793085207876495,0.12793085207876495,-1,5286,1314,224,39,881,219
43,large_undergrading,primary,1,margin,-0.06174772059208769,0.06174772059208769,-1,5286,1314,224,39,881,219
43,large_undergrading,primary,1,entropy_norm,-0.03528505866682579,0.03528505866682579,-1,5286,1314,224,39,881,219
43,large_undergrading,primary,1,pred_grade,0.5465965697894161,0.5465965697894161,1,5286,1314,224,39,881,219
43,large_undergrading,primary,1,top2_grade,0.020559408435114033,0.020559408435114033,1,5286,1314,224,39,881,219
43,large_undergrading,primary,1,top2_confidence,-0.05129970120599494,0.05129970120599494,-1,5286,1314,224,39,881,219
43,large_undergrading,primary,1,severe_prob_mass,-1.1763234044594242,1.1763234044594242,-1,5286,1314,224,39,881,219
43,large_undergrading,primary,1,expected_grade,0.8946337368011434,0.8946337368011434,1,5286,1314,224,39,881,219
43,large_undergrading,primary,1,expected_gap,0.8670924045279694,0.8670924045279694,1,5286,1314,224,39,881,219
43,large_undergrading,primary,1,top2_more_severe,-0.15216277384277166,0.15216277384277166,-1,5286,1314,224,39,881,219
43,large_undergrading,primary,1,pred_le_2,1.1805247535308887,1.1805247535308887,1,5286,1314,224,39,881,219
43,large_undergrading,primary,1,gated_severe_prob_mass,0.03283404596655586,0.03283404596655586,1,5286,1314,224,39,881,219
43,large_undergrading,primary,1,top2_more_severe_conf,0.4754560594994764,0.4754560594994764,1,5286,1314,224,39,881,219
43,large_undergrading,primary,2,confidence,-0.0789216999345195,0.0789216999345195,-1,5280,1320,196,67,880,220
43,large_undergrading,primary,2,margin,-0.08095978356067772,0.08095978356067772,-1,5280,1320,196,67,880,220
43,large_undergrading,primary,2,entropy_norm,-0.1702981800824243,0.1702981800824243,-1,5280,1320,196,67,880,220
43,large_undergrading,primary,2,pred_grade,0.41234175921051963,0.41234175921051963,1,5280,1320,196,67,880,220
43,large_undergrading,primary,2,top2_grade,0.07623290767486851,0.07623290767486851,1,5280,1320,196,67,880,220
43,large_undergrading,primary,2,top2_confidence,0.08013203317829717,0.08013203317829717,1,5280,1320,196,67,880,220
43,large_undergrading,primary,2,severe_prob_mass,-1.0462840997673637,1.0462840997673637,-1,5280,1320,196,67,880,220
43,large_undergrading,primary,2,expected_grade,0.7114697355370644,0.7114697355370644,1,5280,1320,196,67,880,220
43,large_undergrading,primary,2,expected_gap,0.7614040334601587,0.7614040334601587,1,5280,1320,196,67,880,220
43,large_undergrading,primary,2,top2_more_severe,-0.24575122159773907,0.24575122159773907,-1,5280,1320,196,67,880,220
43,large_undergrading,primary,2,pred_le_2,1.1884205739627163,1.1884205739627163,1,5280,1320,196,67,880,220
43,large_undergrading,primary,2,gated_severe_prob_mass,0.256640853688255,0.256640853688255,1,5280,1320,196,67,880,220
43,large_undergrading,primary,2,top2_more_severe_conf,0.3732412969043055,0.3732412969043055,1,5280,1320,196,67,880,220
43,large_undergrading,primary,3,confidence,-0.08530658488012259,0.08530658488012259,-1,5274,1326,227,36,879,221
