seed,target,target_role,backbone,ranking_method,review_budget,n_records,reviewed_n,total_dangerous,captured,residual,recall,precision,lift
43,vision_threatening_dr_miss,primary,vit_b_imagenet,top2_more_severe_only,0.2,1100,220,58,36,22,0.6206896551724138,0.16363636363636364,3.103448275862069
43,vision_threatening_dr_miss,primary,vit_b_imagenet,ophagent_combined,0.2,1100,220,58,32,26,0.5517241379310345,0.14545454545454545,2.758620689655172
43,vision_threatening_dr_miss,primary,vit_b_imagenet,margin_only,0.2,1100,220,58,25,33,0.43103448275862066,0.11363636363636363,2.155172413793103
43,vision_threatening_dr_miss,primary,vit_b_official_like,learned_logistic,0.2,1100,220,84,62,22,0.7380952380952381,0.2818181818181818,3.69047619047619
43,vision_threatening_dr_miss,primary,vit_b_official_like,expected_gap_only,0.2,1100,220,84,54,30,0.6428571428571429,0.24545454545454545,3.214285714285714
43,vision_threatening_dr_miss,primary,vit_b_official_like,gated_severe_prob_mass_only,0.2,1100,220,84,68,16,0.8095238095238095,0.3090909090909091,4.0476190476190474
43,vision_threatening_dr_miss,primary,vit_b_official_like,top2_more_severe_only,0.2,1100,220,84,62,22,0.7380952380952381,0.2818181818181818,3.69047619047619
43,vision_threatening_dr_miss,primary,vit_b_official_like,ophagent_combined,0.2,1100,220,84,54,30,0.6428571428571429,0.24545454545454545,3.214285714285714
43,vision_threatening_dr_miss,primary,vit_b_official_like,margin_only,0.2,1100,220,84,39,45,0.4642857142857143,0.17727272727272728,2.321428571428571
43,vision_threatening_dr_miss,primary,vit_l_official_like,learned_logistic,0.2,1100,220,62,43,19,0.6935483870967742,0.19545454545454546,3.467741935483871
43,vision_threatening_dr_miss,primary,vit_l_official_like,expected_gap_only,0.2,1100,220,62,13,49,0.20967741935483872,0.05909090909090909,1.0483870967741935
43,vision_threatening_dr_miss,primary,vit_l_official_like,gated_severe_prob_mass_only,0.2,1100,220,62,43,19,0.6935483870967742,0.19545454545454546,3.467741935483871
43,vision_threatening_dr_miss,primary,vit_l_official_like,top2_more_severe_only,0.2,1100,220,62,42,20,0.6774193548387096,0.19090909090909092,3.3870967741935485
43,vision_threatening_dr_miss,primary,vit_l_official_like,ophagent_combined,0.2,1100,220,62,41,21,0.6612903225806451,0.18636363636363637,3.306451612903226
43,vision_threatening_dr_miss,primary,vit_l_official_like,margin_only,0.2,1100,220,62,29,33,0.46774193548387094,0.1318181818181818,2.3387096774193545
43,dangerous_undergrading,secondary,convnext_tiny,learned_logistic,0.2,1100,220,70,49,21,0.7,0.22272727272727272,3.5
43,dangerous_undergrading,secondary,convnext_tiny,expected_gap_only,0.2,1100,220,70,52,18,0.7428571428571429,0.23636363636363636,3.7142857142857144
43,dangerous_undergrading,secondary,convnext_tiny,gated_severe_prob_mass_only,0.2,1100,220,70,49,21,0.7,0.22272727272727272,3.5
43,dangerous_undergrading,secondary,convnext_tiny,top2_more_severe_only,0.2,1100,220,70,48,22,0.6857142857142857,0.21818181818181817,3.428571428571429
43,dangerous_undergrading,secondary,convnext_tiny,ophagent_combined,0.2,1100,220,70,43,27,0.6142857142857143,0.19545454545454546,3.071428571428572
43,dangerous_undergrading,secondary,convnext_tiny,margin_only,0.2,1100,220,70,34,36,0.4857142857142857,0.15454545454545454,2.428571428571429
43,dangerous_undergrading,secondary,retfound_official_like,learned_logistic,0.2,1100,220,65,43,22,0.6615384615384615,0.19545454545454546,3.307692307692308
43,dangerous_undergrading,secondary,retfound_official_like,expected_gap_only,0.2,1100,220,65,43,22,0.6615384615384615,0.19545454545454546,3.307692307692308
