setting,scout,expert,budget,policy,event,event_total,selected_event_n,event_recall,event_precision_in_selected
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.4,low_confidence,scout_error,243,202,0.831275720164609,0.4590909090909091
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.4,low_confidence,expert_correctable_scout_error,125,106,0.848,0.2409090909090909
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.4,low_confidence,severe_pdr_miss_dr_specific,45,38,0.8444444444444444,0.08636363636363636
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.4,low_confidence,large_undergrading_dr_specific,28,24,0.8571428571428571,0.05454545454545454
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.4,low_confidence,referable_dr_miss_dr_specific,56,43,0.7678571428571429,0.09772727272727273
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.4,low_margin,scout_error,243,200,0.823045267489712,0.45454545454545453
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.4,low_margin,expert_correctable_scout_error,125,105,0.84,0.23863636363636365
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.4,low_margin,severe_pdr_miss_dr_specific,45,40,0.8888888888888888,0.09090909090909091
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.4,low_margin,large_undergrading_dr_specific,28,25,0.8928571428571429,0.056818181818181816
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.4,low_margin,referable_dr_miss_dr_specific,56,45,0.8035714285714286,0.10227272727272728
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.4,high_entropy,scout_error,243,199,0.8189300411522634,0.45227272727272727
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.4,high_entropy,expert_correctable_scout_error,125,104,0.832,0.23636363636363636
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.4,high_entropy,severe_pdr_miss_dr_specific,45,40,0.8888888888888888,0.09090909090909091
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.4,high_entropy,large_undergrading_dr_specific,28,27,0.9642857142857143,0.06136363636363636
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.4,high_entropy,referable_dr_miss_dr_specific,56,43,0.7678571428571429,0.09772727272727273
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.5,low_confidence,scout_error,243,225,0.9259259259259259,0.4090909090909091
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.5,low_confidence,expert_correctable_scout_error,125,118,0.944,0.21454545454545454
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.5,low_confidence,severe_pdr_miss_dr_specific,45,44,0.9777777777777777,0.08
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.5,low_confidence,large_undergrading_dr_specific,28,27,0.9642857142857143,0.04909090909090909
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.5,low_confidence,referable_dr_miss_dr_specific,56,47,0.8392857142857143,0.08545454545454545
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.5,low_margin,scout_error,243,225,0.9259259259259259,0.4090909090909091
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.5,low_margin,expert_correctable_scout_error,125,117,0.936,0.21272727272727274
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.5,low_margin,severe_pdr_miss_dr_specific,45,44,0.9777777777777777,0.08
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.5,low_margin,large_undergrading_dr_specific,28,27,0.9642857142857143,0.04909090909090909
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.5,low_margin,referable_dr_miss_dr_specific,56,47,0.8392857142857143,0.08545454545454545
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.5,high_entropy,scout_error,243,222,0.9135802469135802,0.4036363636363636
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.5,high_entropy,expert_correctable_scout_error,125,117,0.936,0.21272727272727274
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.5,high_entropy,severe_pdr_miss_dr_specific,45,44,0.9777777777777777,0.08
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.5,high_entropy,large_undergrading_dr_specific,28,27,0.9642857142857143,0.04909090909090909
